0.39899999999999624656 , -nan(ind) , -nan(ind) , -nan(ind)
0.40319999999999622808 , -nan(ind) , -nan(ind) , -nan(ind)
0.40739999999999620961 , -nan(ind) , -nan(ind) , -nan(ind)
0.41159999999999619114 , -nan(ind) , -nan(ind) , -nan(ind)
0.41579999999999617266 , -nan(ind) , -nan(ind) , -nan(ind)
0.41999999999999615419 , -nan(ind) , -nan(ind) , -nan(ind)
0.42419999999999613571 , -nan(ind) , -nan(ind) , -nan(ind)
0.42839999999999611724 , -nan(ind) , -nan(ind) , -nan(ind)
0.43259999999999609877 , -nan(ind) , -nan(ind) , -nan(ind)
0.43679999999999608029 , -nan(ind) , -nan(ind) , -nan(ind)
0.44099999999999606182 , -nan(ind) , -nan(ind) , -nan(ind)
0.44519999999999604334 , -nan(ind) , -nan(ind) , -nan(ind)
0.44939999999999602487 , -nan(ind) , -nan(ind) , -nan(ind)
0.45359999999999600639 , -nan(ind) , -nan(ind) , -nan(ind)
0.45779999999999598792 , -nan(ind) , -nan(ind) , -nan(ind)
0.46199999999999596945 , -nan(ind) , -nan(ind) , -nan(ind)
0.46619999999999595097 , -nan(ind) , -nan(ind) , -nan(ind)
0.4703999999999959325 , -nan(ind) , -nan(ind) , -nan(ind)
0.47459999999999591402 , -nan(ind) , -nan(ind) , -nan(ind)
0.47879999999999589555 , -nan(ind) , -nan(ind) , -nan(ind)
0.48299999999999587708 , -nan(ind) , -nan(ind) , -nan(ind)
0.4871999999999958586 , -nan(ind) , -nan(ind) , -nan(ind)
0.49139999999999584013 , -nan(ind) , -nan(ind) , -nan(ind)
0.49559999999999582165 , -nan(ind) , -nan(ind) , -nan(ind)
0.49979999999999580318 , -nan(ind) , -nan(ind) , -nan(ind)
0.50399999999999578471 , -nan(ind) , -nan(ind) , -nan(ind)
0.50819999999999576623 , -nan(ind) , -nan(ind) , -nan(ind)
0.51239999999999574776 , -nan(ind) , -nan(ind) , -nan(ind)
0.51659999999999572928 , -nan(ind) , -nan(ind) , -nan(ind)
0.52079999999999571081 , -nan(ind) , -nan(ind) , -nan(ind)
0.52499999999999569233 , -nan(ind) , -nan(ind) , -nan(ind)
0.52919999999999567386 , -nan(ind) , -nan(ind) , -nan(ind)
0.53339999999999565539 , -nan(ind) , -nan(ind) , -nan(ind)
0.53759999999999563691 , -nan(ind) , -nan(ind) , -nan(ind)
0.54179999999999561844 , -nan(ind) , -nan(ind) , -nan(ind)
0.54599999999999559996 , -nan(ind) , -nan(ind) , -nan(ind)
0.55019999999999558149 , -nan(ind) , -nan(ind) , -nan(ind)
0.55439999999999556302 , -nan(ind) , -nan(ind) , -nan(ind)
0.55859999999999554454 , -nan(ind) , -nan(ind) , -nan(ind)
0.56279999999999552607 , -nan(ind) , -nan(ind) , -nan(ind)
0.56699999999999550759 , -nan(ind) , -nan(ind) , -nan(ind)
0.57119999999999548912 , -nan(ind) , -nan(ind) , -nan(ind)
0.57539999999999547065 , -nan(ind) , -nan(ind) , -nan(ind)
0.57959999999999545217 , -nan(ind) , -nan(ind) , -nan(ind)
0.5837999999999954337 , -nan(ind) , -nan(ind) , -nan(ind)
0.58799999999999541522 , -nan(ind) , -nan(ind) , -nan(ind)
0.59219999999999539675 , -nan(ind) , -nan(ind) , -nan(ind)
